id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,model_probability,mistrust_score,decision_tag,actual_default
9858,70000.0,1,3,1,50,2,3,2,2,2,0,56781.0,55327.0,52927.0,30432.0,16546.0,16722.0,2.0,3.0,2214.0,0.0,600.0,800.0,0.6564618255553016,0.35200491227929875,SAFE,1
6974,50000.0,1,2,2,24,1,3,3,2,2,0,53890.0,54084.0,52026.0,51899.0,50836.0,47828.0,2200.0,0.0,1800.0,105.0,2300.0,1600.0,0.5322340670662138,0.4479290744363699,SAFE,0
15111,20000.0,1,2,1,50,1,2,2,2,0,0,18206.0,18217.0,19930.0,780.0,780.0,0.0,1000.0,3000.0,0.0,0.0,0.0,0.0,0.5511091578965384,0.44384986492739226,SAFE,0
14304,20000.0,1,2,1,27,0,0,0,3,2,0,6599.0,9315.0,19067.0,18472.0,18037.0,18487.0,3000.0,10000.0,0.0,0.0,900.0,2000.0,0.29341116463760664,0.29688229368390284,SAFE,0
23989,20000.0,1,2,2,27,0,0,0,0,-2,-2,2003.0,2948.0,3372.0,0.0,0.0,0.0,1086.0,1000.0,0.0,0.0,0.0,0.0,0.25456759533500245,0.27236468483210347,SAFE,0
29541,10000.0,1,2,2,40,0,0,0,0,0,0,9649.0,10084.0,9421.0,9997.0,9799.0,10163.0,1500.0,1200.0,1137.0,329.0,500.0,251.0,0.2504456564823674,0.5904892090369884,SAFE,1
23150,280000.0,2,2,2,37,-1,-1,-1,-1,-1,-1,1876.0,2716.0,1876.0,1876.0,1876.0,1870.0,2716.0,1876.0,1876.0,1876.0,1870.0,10267.0,0.08534871058012361,0.1480159215224876,SAFE,0
16871,110000.0,1,2,1,36,1,2,0,0,0,0,112875.0,108481.0,108418.0,105373.0,71733.0,61020.0,0.0,4308.0,3196.0,2536.0,2322.0,2001.0,0.43050803622334655,0.38373068646346065,SAFE,0
19454,160000.0,2,1,1,35,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,0.28002390312548814,0.6069493766348163,SAFE,1
17520,20000.0,2,1,2,33,0,0,3,3,2,2,11391.0,16180.0,16635.0,16082.0,15529.0,16525.0,5000.0,1000.0,0.0,0.0,1400.0,0.0,0.29821323790097803,0.45149192746665917,SAFE,0
3007,160000.0,1,1,1,44,0,0,0,0,0,0,156400.0,157923.0,158746.0,153208.0,154163.0,155344.0,7200.0,8000.0,5510.0,5800.0,6000.0,5500.0,0.2457817638262535,0.22343128697449793,SAFE,0
4061,320000.0,2,2,2,24,-1,-1,-1,0,-1,-1,44500.0,51257.0,54659.0,35196.0,71244.0,35299.0,51334.0,54726.0,103.0,71404.0,35448.0,47699.0,0.02039001843274361,0.15429693776871506,SAFE,0
23202,400000.0,2,2,1,34,-1,-1,-1,-1,0,0,41305.0,206028.0,21153.0,15631.0,14417.0,12228.0,206032.0,21153.0,15948.0,10000.0,10000.0,22934.0,0.010673929052597515,0.20789708736598222,SAFE,0
14166,210000.0,1,1,2,26,0,0,0,0,0,0,204824.0,209873.0,214775.0,111893.0,107697.0,105578.0,10000.0,10000.0,5000.0,4000.0,4000.0,4000.0,0.1507049549804655,0.31456298823397183,SAFE,0
22689,50000.0,2,1,1,33,2,2,2,2,2,2,40669.0,43102.0,44313.0,45286.0,44256.0,47549.0,3424.0,2200.0,2000.0,0.0,4000.0,2300.0,0.6499734277275787,0.3039492863120974,SAFE,1
1421,200000.0,1,1,2,31,0,0,0,0,0,0,6618.0,6777.0,7957.0,4667.0,76187.0,74900.0,1900.0,3008.0,3500.0,73000.0,2700.0,3800.0,0.21941719767716344,0.23686145388502924,SAFE,0
3887,70000.0,1,2,2,41,0,0,0,0,0,0,69866.0,63679.0,54762.0,38750.0,39924.0,37757.0,10000.0,5090.0,2000.0,2000.0,4000.0,2000.0,0.19931924312126198,0.1915323429499844,SAFE,0
15162,50000.0,2,2,2,25,0,0,0,0,0,0,33703.0,30857.0,28481.0,27634.0,26691.0,26329.0,1800.0,1800.0,1400.0,915.0,1500.0,1500.0,0.20144551256212678,0.18011537103058098,SAFE,0
20108,50000.0,2,2,2,47,0,0,0,0,0,0,39296.0,40638.0,41741.0,45982.0,43041.0,42957.0,2000.0,1759.0,5000.0,1525.0,1569.0,3000.0,0.2104936510001604,0.3389464115413801,SAFE,0
20239,30000.0,2,3,3,61,2,2,0,0,0,0,24453.0,23212.0,23964.0,24434.0,21340.0,5624.0,0.0,1522.0,1200.0,428.0,112.0,0.0,0.4446333324349382,0.3116397209511998,SAFE,0
23452,60000.0,2,2,2,34,2,0,0,0,0,-1,60707.0,59675.0,59690.0,59513.0,28494.0,29149.0,2102.0,2922.0,1586.0,570.0,31110.0,1212.0,0.39495791373611694,0.30288519792671714,SAFE,0
20325,180000.0,2,5,1,54,0,0,0,0,0,0,87695.0,88545.0,90403.0,92245.0,94082.0,96050.0,3200.0,3279.0,3343.0,3366.0,3483.0,3507.0,0.13922401778070106,0.2483929424890988,SAFE,0
9001,50000.0,1,3,2,36,0,0,0,0,-2,-2,47911.0,48418.0,7000.0,0.0,0.0,0.0,2166.0,1000.0,0.0,0.0,0.0,0.0,0.19090594969068703,0.13703396578147187,SAFE,0
24438,210000.0,1,2,2,35,0,0,0,0,0,0,131956.0,134755.0,139089.0,140488.0,143649.0,146834.0,5000.0,6507.0,5200.0,5500.0,5500.0,5510.0,0.1757733922364252,0.24487282048109935,SAFE,0
436,270000.0,2,2,1,32,1,2,2,2,2,2,234752.0,233036.0,229286.0,217644.0,223690.0,221413.0,10000.0,8000.0,0.0,16000.0,8000.0,0.0,0.327316168388759,0.6057107309617136,SAFE,1
21358,50000.0,1,3,1,53,0,0,0,0,0,0,48684.0,49466.0,50544.0,25381.0,9652.0,9464.0,1974.0,2442.0,1669.0,330.0,1342.0,330.0,0.2391619538594688,0.20335238825098545,SAFE,0
25784,150000.0,2,1,2,37,-1,-1,-1,-1,0,0,20224.0,24837.0,4159.0,15089.0,2233.0,0.0,24840.0,4159.0,17589.0,0.0,0.0,500.0,0.08516852406480631,0.1294132269069968,SAFE,0
18782,200000.0,2,1,1,30,1,2,2,2,-1,-1,38398.0,20693.0,27932.0,12585.0,45031.0,19836.0,0.0,15015.0,0.0,45031.0,20000.0,45010.0,0.3792702416993164,0.29344767894400087,SAFE,0
22399,380000.0,2,1,2,27,-1,0,0,0,0,0,119628.0,36965.0,32932.0,37368.0,35543.0,36756.0,3250.0,6200.0,5000.0,1543.0,1776.0,1483.0,0.07256908918802758,0.24426115146042904,SAFE,0
13731,280000.0,2,3,2,47,2,2,-1,-1,2,-1,1792.0,0.0,2292.0,1153.0,607.0,3076.0,0.0,2292.0,1153.0,0.0,3076.0,4983.0,0.4147274164253944,0.43495417420292143,SAFE,1
2799,60000.0,2,2,1,36,-2,-2,-2,-2,-2,-2,0.0,2426.0,3367.0,2898.0,11768.0,3983.0,2426.0,3367.0,2898.0,11768.0,3983.0,0.0,0.06430187791441785,0.10887569778969934,SAFE,0
18445,20000.0,2,1,2,26,1,2,2,2,2,2,18194.0,19043.0,18451.0,19961.0,19229.0,19694.0,1446.0,0.0,1956.0,0.0,651.0,0.0,0.48670796925988835,0.3443981020922767,SAFE,1
1096,670000.0,1,1,2,29,0,0,0,0,0,0,244663.0,243209.0,229265.0,228114.0,232795.0,237726.0,10000.0,8000.0,8500.0,8190.0,9000.0,8000.0,0.10923640332739527,0.4267881361423702,SAFE,0
9340,30000.0,2,2,1,22,1,2,2,0,0,-2,14274.0,14367.0,13296.0,12516.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.496673446823177,0.42237867370322296,SAFE,1
18189,50000.0,1,2,2,48,0,0,0,0,2,0,4975.0,6878.0,8106.0,9962.0,9656.0,11328.0,2000.0,1500.0,2000.0,0.0,2000.0,1000.0,0.24973007782727238,0.5344107260125867,SAFE,1
14969,20000.0,2,1,1,43,-1,-1,-1,0,0,-2,1716.0,4019.0,2500.0,1000.0,0.0,0.0,4027.0,2500.0,0.0,0.0,0.0,0.0,0.16455988510836986,0.18255814362402323,SAFE,0
18906,280000.0,2,2,2,29,-2,-2,-2,-2,-2,-2,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5017.0,0.043168494507413384,0.19931941460103136,SAFE,0
27940,90000.0,2,2,1,27,1,-1,-1,-1,-1,-1,0.0,1191.0,-21.0,2130.0,3486.0,1495.0,1191.0,0.0,2151.0,3486.0,1495.0,0.0,0.29953111224711015,0.2559066235983315,SAFE,0
470,90000.0,2,1,1,41,-1,-1,-1,-1,-1,-1,6160.0,3274.0,6190.0,307.0,2870.0,670.0,3276.0,6246.0,307.0,2870.0,670.0,1362.0,0.14633023891048935,0.16897954129320011,SAFE,0
27741,50000.0,2,1,2,25,0,0,0,0,0,0,50051.0,46768.0,48124.0,48171.0,19401.0,19412.0,1754.0,2500.0,1781.0,2000.0,695.0,1000.0,0.2184477142712617,0.18953975699005413,SAFE,0
2752,360000.0,2,2,2,39,-1,2,2,-2,-2,-2,655.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168138001671328,0.3848790829055412,SAFE,0
29188,180000.0,1,2,2,29,0,0,0,0,0,0,177554.0,175969.0,174812.0,177252.0,129190.0,130431.0,6500.0,7000.0,7100.0,5000.0,5000.0,5000.0,0.15492981102593614,0.18148736354181816,SAFE,0
25619,310000.0,2,1,2,31,-2,-2,-2,-2,-2,-2,9108.0,24480.0,6864.0,0.0,150.0,150.0,24485.0,6864.0,0.0,150.0,150.0,271.0,0.036006343038751054,0.13820696244856942,SAFE,0
27098,580000.0,1,1,1,35,-2,-2,-1,0,-1,0,9238.0,0.0,1758.0,2886.0,3733.0,3040.0,0.0,1758.0,2014.0,3793.0,7.0,2138.0,0.05730256118618062,0.3203976481836547,SAFE,0
11738,50000.0,1,3,1,36,0,0,0,0,0,0,36809.0,24248.0,18588.0,18958.0,19355.0,19788.0,1601.0,1309.0,679.0,703.0,755.0,396.0,0.24093636669251706,0.12690139691942381,SAFE,0
13354,140000.0,1,1,2,29,0,0,0,2,2,2,11693.0,13490.0,16747.0,16183.0,17762.0,17327.0,2000.0,3500.0,0.0,2000.0,0.0,5000.0,0.2598311411255284,0.25886394104771565,SAFE,0
23872,360000.0,1,1,2,29,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05560528046178693,0.28157609552233276,SAFE,0
8023,60000.0,1,1,2,27,0,0,0,-2,-2,-2,10908.0,13331.0,0.0,0.0,0.0,0.0,8331.0,0.0,0.0,0.0,0.0,3860.0,0.25595552858293824,0.21837187792002127,SAFE,0
8761,50000.0,2,2,1,37,0,0,0,0,-1,0,23325.0,21940.0,20718.0,24048.0,5017.0,3570.0,1400.0,1200.0,5000.0,5017.0,71.0,2710.0,0.25084384383671304,0.13466243866406605,SAFE,0
25706,430000.0,2,1,2,29,0,0,0,0,0,0,111409.0,114071.0,116749.0,118319.0,121351.0,125225.0,6000.0,6000.0,5000.0,5000.0,6000.0,5000.0,0.14569722341770516,0.2672110602775733,SAFE,0
13083,210000.0,2,2,1,46,-1,-1,-1,0,-1,-1,3095.0,2768.0,5536.0,2768.0,1075.0,2006.0,2768.0,5536.0,0.0,1075.0,2006.0,1344.0,0.11740321557225315,0.6492141704067658,SAFE,1
22593,160000.0,2,1,1,35,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0,0.2752760932310421,0.31257181322348626,SAFE,0
27573,500000.0,1,1,1,54,0,0,0,0,0,0,493251.0,496315.0,480411.0,489978.0,493062.0,474301.0,18725.0,18000.0,17534.0,17649.0,18007.0,20000.0,0.09399461938043414,0.43705206148110626,SAFE,0
3085,210000.0,2,3,1,45,-1,-1,-1,-1,-1,-1,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,10798.0,0.10616543901231189,0.2028517358956493,SAFE,0
12702,200000.0,2,1,2,25,0,0,0,0,0,0,190123.0,194059.0,194464.0,76223.0,77822.0,80598.0,8487.0,5105.0,3000.0,2828.0,4073.0,1794.0,0.13847523723388055,0.18899814639210769,SAFE,0
7392,130000.0,2,3,2,25,-1,-1,-1,-1,-1,-1,250.0,174.0,1214.0,1125.0,139.0,0.0,174.0,1214.0,1125.0,139.0,0.0,391.0,0.08986114980701042,0.15316514666597228,SAFE,0
16793,30000.0,1,2,2,34,2,0,0,4,3,2,18402.0,19785.0,24633.0,23961.0,23289.0,22779.0,2000.0,5500.0,0.0,0.0,0.0,3400.0,0.4981326180205073,0.4952276512470033,SAFE,0
376,30000.0,1,3,1,58,0,0,0,0,0,0,19143.0,20168.0,21229.0,21495.0,21800.0,22437.0,1640.0,1700.0,915.0,800.0,1000.0,1961.0,0.27552022266780285,0.2896956395128513,SAFE,0
11648,100000.0,1,2,2,26,0,0,0,0,0,0,73070.0,74847.0,97369.0,98232.0,97752.0,0.0,10000.0,43000.0,5000.0,3000.0,0.0,0.0,0.13424198025995082,0.22153426829723938,SAFE,0
13955,60000.0,2,1,2,46,0,0,0,0,0,2,30073.0,18385.0,20732.0,21196.0,23175.0,22724.0,3000.0,3000.0,1000.0,3000.0,0.0,3500.0,0.22844343754631422,0.2790451482239681,SAFE,0
17143,80000.0,2,2,1,26,0,0,2,4,3,2,32183.0,34454.0,39559.0,38640.0,37721.0,39965.0,2820.0,6000.0,0.0,0.0,3000.0,0.0,0.2723024063911573,0.4986449874925267,SAFE,1
15489,200000.0,1,1,1,42,1,-1,-1,-1,-1,-1,0.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,0.36772647360306815,0.49874804134149403,SAFE,1
25616,120000.0,2,2,1,28,0,0,0,0,0,0,103676.0,96833.0,78920.0,74310.0,75710.0,77503.0,3283.0,3000.0,5000.0,3000.0,3000.0,4000.0,0.19190950686248492,0.21188175765605197,SAFE,0
16630,170000.0,1,3,1,45,0,0,0,0,0,0,165315.0,170562.0,170024.0,32898.0,34869.0,73932.0,8000.0,4000.0,3000.0,2500.0,5000.0,3000.0,0.15923329423016006,0.19610156366968406,SAFE,0
8412,120000.0,1,1,2,27,-1,-1,-1,-1,-1,-1,880.0,880.0,880.0,880.0,880.0,1030.0,880.0,880.0,880.0,880.0,1030.0,880.0,0.1430037734791127,0.33248449265232627,SAFE,0
2375,50000.0,2,2,2,25,3,3,2,2,2,2,35592.0,36518.0,36822.0,37421.0,38424.0,39035.0,1800.0,1200.0,1500.0,1750.0,1390.0,0.0,0.7285022936272354,0.33537649160169825,SAFE,1
9247,160000.0,1,2,1,37,2,-1,-1,-1,-1,-1,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,0.46321797043703555,0.4630547219455639,SAFE,1
6170,360000.0,1,1,2,29,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05784552034161353,0.8303003216203056,SAFE,1
29430,50000.0,1,2,2,30,0,0,0,0,0,0,16397.0,17378.0,17523.0,18467.0,17865.0,18234.0,1572.0,1617.0,1561.0,759.0,779.0,908.0,0.23653899809523593,0.23814660229508244,SAFE,0
8537,230000.0,2,1,2,24,0,0,0,0,0,0,69158.0,73712.0,68831.0,61534.0,25914.0,36313.0,8149.0,2214.0,5904.0,5542.0,15502.0,5000.0,0.17491862495448615,0.26121973521075714,SAFE,0
4787,100000.0,2,2,2,56,0,0,2,0,0,0,97549.0,102864.0,98969.0,70352.0,68186.0,68538.0,9300.0,0.0,2500.0,2700.0,2700.0,2600.0,0.20394468241392685,0.5876757556007989,SAFE,1
16854,80000.0,1,2,1,36,3,2,2,4,4,3,600.0,600.0,600.0,600.0,600.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782089582596921,0.27958312424455184,SAFE,1
5114,30000.0,2,3,2,36,2,2,2,2,2,2,25437.0,26734.0,26011.0,27353.0,26776.0,28620.0,2000.0,0.0,2078.0,0.0,2291.0,0.0,0.5406633928723481,0.5102917043877845,SAFE,1
2670,10000.0,1,5,1,43,-1,0,0,0,-2,-2,17560.0,9829.0,3604.0,0.0,0.0,0.0,2537.0,1000.0,0.0,0.0,0.0,0.0,0.13099890836302422,0.5854502940230629,SAFE,1
10967,200000.0,2,1,1,42,0,0,0,0,0,0,23242.0,24575.0,25284.0,25938.0,26478.0,26889.0,1711.0,1420.0,1074.0,1107.0,1000.0,1000.0,0.26371678497783935,0.28931271469605085,SAFE,0
25156,30000.0,2,2,1,24,1,2,2,2,2,2,29654.0,28570.0,31085.0,29945.0,30373.0,29476.0,0.0,3300.0,0.0,2158.0,0.0,1100.0,0.4811576527260566,0.29258001695298147,SAFE,0
13204,220000.0,2,1,2,24,0,0,0,0,0,0,51908.0,53087.0,54167.0,55267.0,56586.0,57993.0,2017.0,1965.0,2000.0,2210.0,2500.0,2339.0,0.20215608731625212,0.22676947804972875,SAFE,0
20564,30000.0,1,3,2,25,0,0,-2,-2,-2,-2,1211.0,-50.0,-440.0,-830.0,-1220.0,-1220.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.19330744597556315,0.12678388948517974,SAFE,0
16595,10000.0,1,2,2,28,-1,2,-1,2,3,2,619.0,619.0,8642.0,9151.0,8023.0,5475.0,0.0,8642.0,800.0,107.0,200.0,0.0,0.20453573957417437,0.4655999185339697,SAFE,1
17982,170000.0,1,3,2,44,0,0,0,0,0,0,167077.0,170965.0,172541.0,159546.0,137410.0,136680.0,12275.0,10000.0,8009.0,6000.0,30000.0,5322.0,0.12918964228570534,0.2045935857463558,SAFE,0
24155,110000.0,1,2,2,29,2,2,2,2,0,0,55700.0,58362.0,56598.0,51908.0,48647.0,47862.0,5000.0,2500.0,0.0,2000.0,2000.0,1854.0,0.5708741881376743,0.30420185244134423,SAFE,1
28587,490000.0,2,1,2,34,0,0,-1,-1,-1,-1,19036.0,14474.0,3404.0,14445.0,7672.0,2295.0,5038.0,3404.0,14445.0,7672.0,2295.0,9004.0,0.13484164140958332,0.3203470354942825,SAFE,0
28958,40000.0,2,1,2,29,0,0,0,0,-2,-2,35735.0,29772.0,23602.0,0.0,0.0,0.0,2017.0,1206.0,0.0,0.0,0.0,0.0,0.22474990871314057,0.15427959954461326,SAFE,0
28077,80000.0,2,3,1,42,2,2,2,2,0,0,17511.0,20503.0,25917.0,19081.0,15200.0,13039.0,3600.0,6142.0,0.0,0.0,0.0,6439.0,0.5620090730408462,0.33359906026721614,SAFE,1
27290,230000.0,1,1,1,35,-2,-2,-2,-2,-2,-2,392.0,4106.0,2562.0,6245.0,394.0,987.0,4114.0,2566.0,6286.0,394.0,989.0,3129.0,0.07293536200384712,0.1548348991456833,SAFE,0
16613,130000.0,1,1,2,27,2,2,2,0,0,0,73561.0,70071.0,68392.0,69435.0,67790.0,69248.0,3500.0,0.0,2798.0,3500.0,2627.0,3000.0,0.5987640751007108,0.4895044433450797,SAFE,1
23464,20000.0,2,2,2,46,-1,-1,-1,0,0,-2,189.0,2249.0,3551.0,6180.0,0.0,0.0,2249.0,3551.0,5000.0,0.0,0.0,0.0,0.11566153130710628,0.5977223534820231,SAFE,1
11667,150000.0,1,2,1,48,1,2,0,0,2,0,144837.0,141815.0,143704.0,151572.0,149807.0,153088.0,0.0,5000.0,9500.0,0.0,5005.0,6010.0,0.43059778781409763,0.5200351932438275,SAFE,1
6186,50000.0,1,1,2,48,0,0,-1,0,0,0,53540.0,53321.0,49263.0,29063.0,26644.0,27201.0,1066.0,50045.0,992.0,1000.0,1000.0,1008.0,0.15819825278068347,0.12435709694826859,SAFE,0
15765,70000.0,2,3,2,24,0,0,0,0,0,0,5633.0,6646.0,7665.0,8836.0,9532.0,9730.0,1114.0,1133.0,1304.0,1000.0,351.0,2523.0,0.18280200327536372,0.21711181272013036,SAFE,0
5466,80000.0,2,2,2,34,1,-1,-1,-2,-2,-2,0.0,7400.0,-600.0,-600.0,-600.0,-600.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.2580924021552875,0.18933623484971762,SAFE,0
27365,50000.0,1,2,2,28,0,0,0,2,0,0,26538.0,27592.0,30627.0,28999.0,29607.0,29285.0,1500.0,3500.0,0.0,1051.0,1100.0,1040.0,0.2418574525301937,0.20328667879859974,SAFE,0
25855,130000.0,2,1,2,30,-1,-1,-1,-1,-1,-1,5002.0,2437.0,2448.0,5457.0,3855.0,4684.0,2437.0,2774.0,5457.0,3855.0,4684.0,843.0,0.11114853392726141,0.20575145917535284,SAFE,0
7421,280000.0,2,2,2,31,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,5360.0,251.0,0.0,0.0,0.0,5360.0,251.0,5360.0,0.183365067775558,0.20418132360313093,SAFE,0
248,100000.0,2,2,2,27,0,0,0,0,0,0,37767.0,34457.0,30036.0,30337.0,30997.0,32904.0,1788.0,1799.0,1100.0,1150.0,2423.0,0.0,0.19863051949060173,0.35828810171779424,SAFE,0
20363,100000.0,1,1,1,37,0,0,0,0,0,0,99516.0,87274.0,96414.0,74161.0,45585.0,40178.0,10184.0,20000.0,5150.0,5000.0,10000.0,10000.0,0.2087290997665356,0.627704291368594,SAFE,1
28217,200000.0,2,3,2,45,0,0,0,0,0,0,69817.0,71272.0,76740.0,67480.0,68843.0,70266.0,2049.0,6104.0,1839.0,1862.0,1918.0,2149.0,0.14657481483492726,0.14677574091556272,SAFE,0
2666,50000.0,2,2,2,22,0,0,0,0,0,-1,29637.0,30805.0,30336.0,13378.0,-1022.0,29857.0,1826.0,1200.0,268.0,0.0,31448.0,792.0,0.200635608186379,0.18606172464929052,SAFE,0
13351,310000.0,2,1,2,36,-1,-1,-1,-1,-1,-1,6514.0,8619.0,6204.0,2905.0,7944.0,13125.0,8619.0,6206.0,2905.0,7944.0,13524.0,16233.0,0.08521700978979134,0.1653472475774279,SAFE,0
12771,140000.0,1,2,2,26,0,0,0,0,0,0,105930.0,59125.0,54636.0,51407.0,12016.0,60890.0,3029.0,2000.0,2059.0,1019.0,55317.0,2015.0,0.1600234289003735,0.25697556079326,SAFE,0
14523,30000.0,2,2,2,25,0,0,0,0,0,2,7204.0,7453.0,7098.0,10148.0,22070.0,23182.0,1200.0,1114.0,4000.0,13000.0,2000.0,0.0,0.20977932740398295,0.178456574343565,SAFE,0
13462,50000.0,2,3,1,46,0,0,0,0,0,0,21453.0,22365.0,12874.0,13341.0,10556.0,9396.0,1634.0,1143.0,610.0,509.0,500.0,1000.0,0.22223239221135982,0.1163368126279068,SAFE,0
6854,290000.0,1,3,2,34,0,0,0,0,0,0,5451.0,6230.0,140802.0,143354.0,146225.0,148820.0,1200.0,135000.0,5200.0,5500.0,5500.0,5400.0,0.061307192897768266,0.7036973510031614,SAFE,1
12026,180000.0,2,3,1,35,0,0,0,0,0,0,133733.0,92955.0,90159.0,68789.0,26614.0,27528.0,3514.0,3569.0,3204.0,1000.0,1310.0,4459.0,0.14139499871391478,0.21948689357105886,SAFE,0
878,280000.0,2,2,2,27,-1,-1,-1,-1,-1,-1,5924.0,5174.0,980.0,3058.0,3158.0,9530.0,5174.0,1078.0,3058.0,3158.0,9530.0,0.0,0.08598670954129303,0.18780071005797927,SAFE,0
25091,400000.0,1,1,1,66,0,0,0,0,0,0,279579.0,258070.0,77910.0,61440.0,44590.0,12270.0,10700.0,47000.0,1500.0,0.0,0.0,0.0,0.058216631980842946,0.3023463781025359,SAFE,0
10589,50000.0,2,2,2,24,-1,-1,-1,0,-1,-1,1572.0,1572.0,6561.0,5091.0,353.0,26864.0,1572.0,6561.0,102.0,353.0,27000.0,1000.0,0.10501245690774755,0.1661354554762976,SAFE,0
29671,220000.0,1,2,1,40,2,2,0,0,0,0,222418.0,206473.0,208464.0,175407.0,175170.0,174726.0,4.0,8027.0,6218.0,6220.0,6316.0,6504.0,0.4669723526658983,0.49895003352786116,SAFE,0
25141,90000.0,1,1,1,61,0,0,0,0,0,0,46441.0,46896.0,47463.0,45812.0,41367.0,40278.0,1762.0,1875.0,1500.0,1400.0,1500.0,1258.0,0.3140132647151763,0.22760573766392703,SAFE,0
